"Source:","/home/mark/src/OHIS/user-adapter/User Adapter/User Adapter.kicad_sch"
"Date:","Wed 10 Jan 2024 05:53:40 PM PST"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Link","Manufacturer","Part Number","Z0 Buy in Qty","Z1 Cost to buy","Z2 Cost per part","Z3 Cost per Qty"
"1","4","BOM1, BOM2, BOM3, BOM4",".1"" Jumper","smitty:BOM_Item","Libraries:BOM_Item","","","https://www.ebay.com/itm/180973205082","Generic",".1"" Pin Jumper","400","7.96","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"2","4","BOM5, BOM6, BOM7, BOM8","M3 14mm brass standoff","smitty:BOM_Item","Libraries:BOM_Item","","","https://www.ebay.com/itm/201415009549","Generic","M3 14mm brass standoff","400","=49.52+1.95","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"3","4","BOM9, BOM10, BOM11, BOM12","M3 6mm SS screw","smitty:BOM_Item","Libraries:BOM_Item","","","https://www.ebay.com/itm/185035090471","Generic","M3 6mm SS screw","500","15.96","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"4","4","BOM13, BOM14, BOM15, BOM16","M3 10mm SS screw","smitty:BOM_Item","Libraries:BOM_Item","","","https://www.ebay.com/itm/185035090471","Generic","M3 10mm SS screw","500","19.96","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"5","1","BOM17","Main Board","smitty:BOM_Item","Libraries:BOM_Item","","","","Board Fab","","100","=36.62+20","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"6","1","BOM18","Top Board","smitty:BOM_Item","Libraries:BOM_Item","","","","Board Fab","","100","=36.62+20","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"7","1","BOM19","Bottom Board","smitty:BOM_Item","Libraries:BOM_Item","","","","Board Fab","","100","=36.62+20","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"8","4","BOM20, BOM21, BOM22, BOM23","M3 3mm ABS standoff","smitty:BOM_Item","Libraries:BOM_Item","","","https://www.ebay.com/itm/201415009549","Generic","M3 3mm ABS standoff","1000","12.76","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"9","1","C1","1uF","Device:C_Small","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~","","https://www.mouser.com/ProductDetail/810-FG28X7R1E105KRT0","Various eg TDK","FG28X7R1E105KRT00","120","11.40","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
"10","1","C2","47uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","https://www.mouser.com/ProductDetail/80-ESS476M016AE2EA","Kemet","ESS476M016AE2EA","100","6.20","=IFERROR(OFFSET(INDIRECT(CELL(""Address"")), 0, -1)/OFFSET(INDIRECT(CELL(""Address"")), 0, -2), 0)","=OFFSET(INDIRECT(CELL(""Address"")), 0, -1)*INDIRECT(ADDRESS(CELL(""Row""), 2))"
