Designator,Footprint,Quantity,Value,LCSC Part #
"BOM1, BOM2, BOM3, BOM4",BOM_Item,4,".1"" Jumper",
"BOM10, BOM11, BOM12, BOM9",BOM_Item,4,M3 6mm SS screw,
"BOM13, BOM14, BOM15, BOM16",BOM_Item,4,M3 10mm SS screw,
BOM17,BOM_Item,1,Main Board,
BOM18,BOM_Item,1,Top Board,
BOM19,BOM_Item,1,Bottom Board,
"BOM20, BOM21, BOM22, BOM23",BOM_Item,4,M3 3mm ABS standoff,
"BOM5, BOM6, BOM7, BOM8",BOM_Item,4,M3 14mm brass standoff,
C1,C_Disc_D6.0mm_W4.4mm_P5.00mm,1,1uF,
C3,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,1nF,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
J1,RJ45_Amphenol_RJHSE5380,1,OHIS_8p8c_Shield,
J2,Conn-3.5mm-TRRS-PJ-320L,1,Headphones,
J3,Conn-3.5mm-TRRS-PJ-320L,1,Microphone,
J4,Conn-3.5mm-TRRS-PJ-320L,1,PTT,
J5,PinHeader_2x02_P2.54mm_Vertical,1,Dynamic Mic Bypass,
J6,PinHeader_2x03_P2.54mm_Vertical,1,HP or CTIA,
Q1,TO-92_Inline_Wide,1,2N3904,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,75k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,27k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470,
SW1,SW_PUSH_6mm_H9.5mm,1,PTT,
