Designator,Mid X,Mid Y,Rotation,Layer
BOM1,196.342,-67.382,0.0,top
BOM10,196.009,-88.392,0.0,top
BOM11,197.509,-85.392,0.0,top
BOM12,197.509,-86.892,0.0,top
BOM13,197.509,-88.392,0.0,top
BOM14,194.1,-89.7,0.0,top
BOM15,194.1,-91.2,0.0,top
BOM16,195.6,-89.7,0.0,top
BOM17,195.326,-79.526,0.0,top
BOM18,195.326,-81.026,0.0,top
BOM19,195.6,-91.2,0.0,top
BOM2,196.342,-68.882,0.0,top
BOM20,197.1,-89.7,0.0,top
BOM21,197.1,-91.2,0.0,top
BOM22,198.6,-89.7,0.0,top
BOM23,198.6,-91.2,0.0,top
BOM3,196.342,-70.382,0.0,top
BOM4,196.342,-71.882,0.0,top
BOM5,194.509,-85.392,0.0,top
BOM6,194.509,-86.892,0.0,top
BOM7,194.509,-88.392,0.0,top
BOM8,196.009,-85.392,0.0,top
BOM9,196.009,-86.892,0.0,top
C1,157.44,-77.47,180.0,top
C3,130.175,-65.425,270.0,top
G1,171.45,-76.2,90.0,top
J1,185.295,-72.64,270.0,top
J2,101.63,-85.725,0.0,top
J3,101.63,-76.2,0.0,top
J4,101.63,-66.675,0.0,top
J5,157.475,-81.915,0.0,top
J6,133.35,-83.17,180.0,top
Q1,154.94,-68.58,270.0,top
R1,160.675,-78.105,90.0,top
R2,145.415,-67.945,270.0,top
R3,149.225,-67.945,270.0,top
SW1,119.035,-79.45,90.0,top
